Data Source,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67
Euro area,66.18587235,66.70960183,66.27380047,66.09447628,66.26639426,66.17912159,66.43180033,66.69080754,67.10260024,67.59426194,67.88284593,67.8410815,68.45069495,69.07234658,69.426993,70.04188693,70.61557267,70.88992881,71.21755394,71.25840658,71.33960079,71.41635541,71.96710717,72.21575509,72.36921445,72.50782365,72.79560057,73.0843387,73.35915818,73.61985807,72.76790656,73.64899054,74.54269828,75.01163545,75.11202547,
Eritrea,82.481,82.491,82.52,82.367,82.191,81.907,81.728,82.013,82.247,82.374,82.465,82.329,82.151,81.946,81.738,81.729,81.829,81.88,81.858,81.716,81.63,81.446,81.317,81.319,81.101,81.278,81.163,81.11,80.781,80.467,79.403,79.871,80.491,80.545,80.538,
Spain,59.485,59.508,59.732,59.999,60.738,60.695,61.318,62.222,62.853,63.659,65.245,64.471,66.533,67.846,68.777,70.048,71.211,71.752,72.694,73.078,73.593,73.921,74.255,74.326,74.279,74.404,74.342,74.092,73.74,73.764,72.267,73.651,74.281,74.586,74.588,
Estonia,78.648,77.417,75.217,73.826,74.067,72.962,72.343,72.427,72.058,70.221,70.353,69.243,68.23,70.449,70.63,70.554,72.808,73.214,74.239,74.08,73.901,74.769,74.845,75.201,75.32,76.324,77.216,78.324,78.665,78.338,78.626,78.856,80.873,81.335,81.218,
Ethiopia,82.965,82.925,82.886,82.95,82.981,83.016,83.073,83.117,83.145,83.194,83.235,83.268,83.257,83.221,83.229,83.226,83.168,83.108,83.048,82.991,82.935,82.882,82.831,82.779,81.116,79.457,77.8,76.156,74.521,72.908,70.678,69.515,69.398,69.15,69.083,
European Union,66.33501187,66.71874328,66.35925152,66.13325482,66.17271043,66.03356884,66.16907925,66.30011818,66.57165173,66.96264306,67.21802,67.26808456,67.63776766,68.05051888,68.31812195,68.87224062,69.28917059,69.52749466,69.88288696,69.7954247,70.11310141,70.2202461,70.81081072,71.15126917,71.47939628,71.74926897,72.12145676,72.59584694,72.93695163,73.28425649,72.67214733,73.61806015,74.50633702,75.01525674,75.10581327,
Fragile and conflict affected situations,71.26142557,71.33825147,71.2746533,71.19079039,71.11430905,71.09542543,71.04006542,70.99055517,70.90982125,70.80888455,70.6944991,70.53129281,70.26294493,70.06678861,69.92471973,69.76071607,69.5251112,69.29780705,69.00332839,68.70404495,68.43450907,68.27184646,67.88500636,67.71889759,67.41947876,66.98036404,66.63949579,66.16919422,65.76497229,65.1561091,63.8822681,63.6131458,63.42574973,65.10763907,64.98449795,
Finland,77.115,75.667,74.2,73.399,72.671,71.909,71.487,72.722,72.91,74.124,74.582,75.379,75.804,75.925,75.933,76.458,76.712,75.373,75.765,74.68,74.175,74.854,74.965,75.028,75.133,75.543,75.667,76.48,77.74,77.947,78.079,78.692,79.654,79.704,79.863,
Fiji,61.039,61.131,60.98,60.933,60.806,60.747,60.637,60.506,60.385,60.266,60.151,60.038,59.925,59.813,59.707,58.264,59.362,60.452,61.531,62.597,63.653,64.699,63.689,62.644,61.562,60.864,60.15,60.073,60.04,60.13,59.528,59.772,60.317,60.333,60.302,
France,66.849,66.358,66.743,66.957,67.055,67.259,67.806,67.558,67.825,68.404,68.472,68.353,68.769,69.564,69.466,69.651,69.585,69.709,69.874,70.222,70.193,70.098,70.739,71.239,70.999,71.223,71.285,71.435,71.871,71.665,71.091,73.009,73.571,73.688,73.792,
